name,bbg_root,ric_root,mktgroup,asset_class,quote_cols,currency,multiplier,low,high,max_change,max_spread_bps,avg_spread_bps,avg_vol_pct,spread_over_vol,local_tz,start_time,start_tz,end_time,end_tz
audjpy_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
audusd_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
eurgbp_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
eurusd_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
gbpusd_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
nzdusd_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdcad_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdchf_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdjpy_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdnok_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdsek_curncy_1M_0.5,,,,bvol-curncy_g10,implied_vol,,,,,,,,,,,,,,
usdbrl_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdclp_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdcnh_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdcny_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdcop_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdczk_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usddkk_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdhuf_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdidr_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdils_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdinr_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdkrw_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdmxn_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdmyr_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdpen_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdphp_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdpln_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdrub_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdsgd_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdthb_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdtry_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdtwd_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
usdzar_curncy,,,,bvol-curncy_em,implied_vol,,,,,,,,,,,,,,
as51_index_1M_0.9,,,,bvol-index,implied_vol,AUD,,,,,,,,,Australia/Sydney,,Australia/Sydney,,Australia/Sydney
as51_index_1M_1,,,,bvol-index,implied_vol,AUD,,,,,,,,,Australia/Sydney,,Australia/Sydney,,Australia/Sydney
as51_index_1M_1.1,,,,bvol-index,implied_vol,AUD,,,,,,,,,Australia/Sydney,,Australia/Sydney,,Australia/Sydney
ibov_index,,,,bvol-index,implied_vol,BRL,,,,,,,,,,,,,
smi_index,,,,bvol-index,implied_vol,CHF,,,,,,,,,,,,,
aex_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
cac_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
dax_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
ftsemib_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
ibex_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
sx5e_index,,,,bvol-index,implied_vol,EUR,,,,,,,,,,,,,
ukx_index,,,,bvol-index,implied_vol,GBP,,,,,,,,,,,,,
hscei_index,,,,bvol-index,implied_vol,HKD,,,,,,,,,,,,,
hsi_index_1M_0.9,,,,bvol-index,implied_vol,HKD,,,,,,,,,Asia/Hong_Kong,,Asia/Hong_Kong,,Asia/Hong_Kong
hsi_index_1M_1,,,,bvol-index,implied_vol,HKD,,,,,,,,,Asia/Hong_Kong,,Asia/Hong_Kong,,Asia/Hong_Kong
hsi_index_1M_1.1,,,,bvol-index,implied_vol,HKD,,,,,,,,,Asia/Hong_Kong,,Asia/Hong_Kong,,Asia/Hong_Kong
nifty_index_1M_0.9,,,,bvol-index,implied_vol,INR,,,,,,,,,Asia/Kolkata,,Asia/Kolkata,,Asia/Kolkata
nifty_index_1M_1,,,,bvol-index,implied_vol,INR,,,,,,,,,Asia/Kolkata,,Asia/Kolkata,,Asia/Kolkata
nifty_index_1M_1.1,,,,bvol-index,implied_vol,INR,,,,,,,,,Asia/Kolkata,,Asia/Kolkata,,Asia/Kolkata
nky_index_1M_0.9,,,,bvol-index,implied_vol,JPY,,,,,,,,,Asia/Tokyo,,Asia/Tokyo,,Asia/Tokyo
nky_index_1M_1,,,,bvol-index,implied_vol,JPY,,,,,,,,,Asia/Tokyo,,Asia/Tokyo,,Asia/Tokyo
nky_index_1M_1.1,,,,bvol-index,implied_vol,JPY,,,,,,,,,Asia/Tokyo,,Asia/Tokyo,,Asia/Tokyo
tpx_index,,,,bvol-index,implied_vol,JPY,,,,,,,,,,,,,
kospi2_index_1M_0.9,,,,bvol-index,implied_vol,KRW,,,,,,,,,Asia/Seoul,,Asia/Seoul,,Asia/Seoul
kospi2_index_1M_1,,,,bvol-index,implied_vol,KRW,,,,,,,,,Asia/Seoul,,Asia/Seoul,,Asia/Seoul
kospi2_index_1M_1.1,,,,bvol-index,implied_vol,KRW,,,,,,,,,Asia/Seoul,,Asia/Seoul,,Asia/Seoul
omx_index,,,,bvol-index,implied_vol,SEK,,,,,,,,,,,,,
twse_index_1M_0.9,,,,bvol-index,implied_vol,TWD,,,,,,,,,Asia/Taipei,,Asia/Taipei,,Asia/Taipei
twse_index_1M_1,,,,bvol-index,implied_vol,TWD,,,,,,,,,Asia/Taipei,,Asia/Taipei,,Asia/Taipei
twse_index_1M_1.1,,,,bvol-index,implied_vol,TWD,,,,,,,,,Asia/Taipei,,Asia/Taipei,,Asia/Taipei
spx_index,,,,bvol-index,implied_vol,USD,,,,,,,,,,,,,
esa_index,,,,bvol-index,implied_vol,,,,,,,,,,,,,,
gld_us_equity_1M_0.8,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
gld_us_equity_1M_1,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
gld_us_equity_1M_1.2,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
gld_us_equity_3M_0.8,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
gld_us_equity_3M_1,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
gld_us_equity_3M_1.2,,,,bvol-us_equity,implied_vol,USD,,,,,,,,,America/New_York,9:30:00,America/New_York,16:01:00,America/New_York
